IDADE,SALARIO_ANUAL,SIT_PROPIEDADE,TEMPO_DE_TRABALHO,MOTIVO,PONTUACAO_EMPRESTIMO,VALOR_TOTAL_SOLICITADO,TAXAS_JUROS,POSSIB_INADIMPLENCIA,RENDA_PERCENTUAL,INADIMPLENCIA,TEMPO_PRIMEIRA_SOL_CRED
29,48000,ALUGADA,2,PESSOAL,B,15000,11.36,1,0.31,0,8
25,76700,HIPOTECADA,1,EMPREENDIMENTO,E,14800,19.42,0,0.19,1,4
26,80000,HIPOTECADA,10,PESSOAL,B,25000,10.62,0,0.31,0,4
21,55000,HIPOTECADA,5,EDUCATIVO,A,10500,7.51,0,0.19,0,3
24,40944,ALUGADA,0,MEDICO,B,8200,11.36,0,0.2,0,4
26,120000,HIPOTECADA,10,"MELHORA DO LAR",D,10000,14.59,0,0.08,1,2
22,48000,ALUGADA,2,"PAGAMENTO DE DEBITOS",A,9000,7.88,0,0.19,0,2
22,45000,HIPOTECADA,6,EMPREENDIMENTO,A,7000,8.94,0,0.16,0,3
23,32388,HIPOTECADA,0,EDUCATIVO,B,6000,10.71,0,0.19,0,4
22,24000,ALUGADA,0,"PAGAMENTO DE DEBITOS",C,5200,13.49,0,0.22,1,2
36,24000,HIPOTECADA,2,"PAGAMENTO DE DEBITOS",A,1500,9.63,0,0.06,0,16
22,48000,HIPOTECADA,6,"PAGAMENTO DE DEBITOS",A,4400,5.99,0,0.09,0,3
24,12600,ALUGADA,2,EMPREENDIMENTO,C,2500,13.11,1,0.2,1,2
22,105000,HIPOTECADA,6,"PAGAMENTO DE DEBITOS",B,12800,11.83,0,0.12,0,3
25,52000,ALUGADA,9,MEDICO,C,17000,12.98,1,0.33,1,2
31,26988,ALUGADA,NULL,EMPREENDIMENTO,A,5800,6.62,0,0.21,0,9
23,54000,ALUGADA,8,EMPREENDIMENTO,B,12000,11.36,0,0.22,0,2
26,75000,PROPIA,10,EMPREENDIMENTO,B,7000,10.59,0,0.09,0,4
26,47000,ALUGADA,0,PESSOAL,B,8000,10,0,0.17,0,4
55,54000,ALUGADA,4,"PAGAMENTO DE DEBITOS",C,1000,13.99,1,0.02,0,27
34,60000,ALUGADA,0,EDUCATIVO,C,12000,12.22,0,0.2,1,7
23,45000,ALUGADA,4,EDUCATIVO,A,9000,5.99,0,0.2,0,3
25,39000,ALUGADA,9,EMPREENDIMENTO,D,15200,16,1,0.39,0,3
35,45000,HIPOTECADA,5,EMPREENDIMENTO,A,6000,6.99,0,0.13,0,9
27,67200,ALUGADA,0,PESSOAL,A,8000,6.03,0,0.12,0,5
21,27996,HIPOTECADA,5,EDUCATIVO,A,10000,9.63,0,0.36,0,4
28,76000,ALUGADA,2,MEDICO,B,8500,NULL,0,0.11,0,5
23,36000,ALUGADA,7,MEDICO,B,4000,10.99,1,0.11,0,4
23,86000,ALUGADA,0,EMPREENDIMENTO,B,4800,9.62,0,0.06,0,3
21,40000,ALUGADA,3,EDUCATIVO,D,7000,14.46,0,0.17,0,3
24,225000,ALUGADA,0,MEDICO,B,6000,NULL,0,0.03,0,4
30,43500,ALUGADA,0,EDUCATIVO,B,2500,NULL,1,0.13,,2
21,41900,ALUGADA,2,EMPREENDIMENTO,C,16000,12.84,1,0.38,1,2
31,36572,ALUGADA,NULL,MEDICO,A,7900,NULL,0,0.22,0,7
23,60000,ALUGADA,0,EMPREENDIMENTO,A,8400,7.49,0,0.14,0,3
24,56400,ALUGADA,0,EDUCATIVO,E,4000,14.75,1,0.07,1,2
21,26400,ALUGADA,NULL,PESSOAL,D,7000,14.84,1,0.27,1,3
30,30000,HIPOTECADA,3,"MELHORA DO LAR",B,4400,11.99,1,0.15,0,5
26,65000,HIPOTECADA,11,EMPREENDIMENTO,A,12000,7.9,0,0.18,0,2
28,22000,PROPIA,5,EDUCATIVO,A,8000,6.99,0,0.36,0,5
24,101000,HIPOTECADA,3,EDUCATIVO,A,7000,NULL,1,0.07,0,4
30,110400,ALUGADA,1,EMPREENDIMENTO,D,14000,16.89,1,0.13,0,6
25,50000,ALUGADA,3,PESSOAL,D,4000,14.61,0,0.08,1,4
27,30000,ALUGADA,5,PESSOAL,B,4975,10.37,0,0.17,0,10
22,71004,ALUGADA,6,EDUCATIVO,B,1800,11.12,0,0.03,0,4
24,60000,ALUGADA,2,"PAGAMENTO DE DEBITOS",E,25000,NULL,1,0.42,1,2
24,35364,ALUGADA,1,MEDICO,B,20000,12.53,1,0.57,0,4
25,42996,PROPIA,1,EMPREENDIMENTO,D,7200,14.11,0,0.17,0,4
39,78000,ALUGADA,3,"MELHORA DO LAR",D,25000,16.02,1,0.32,0,17
22,41000,ALUGADA,2,"PAGAMENTO DE DEBITOS",D,3600,16.77,1,0.09,1,3
26,105000,HIPOTECADA,6,"PAGAMENTO DE DEBITOS",B,12000,11.99,0,0.11,0,2
31,201000,HIPOTECADA,3,PESSOAL,B,15000,11.12,0,0.07,0,5
26,80730,HIPOTECADA,7,"MELHORA DO LAR",A,9600,7.29,0,0.12,0,2
24,29232,HIPOTECADA,1,,B,6000,NULL,1,NULL,0,3
23,70000,HIPOTECADA,7,EDUCATIVO,C,2000,13.49,0,0.03,1,2
22,62000,HIPOTECADA,5,MEDICO,B,3000,8.7,0,0.05,0,3
22,26000,PROPIA,2,EDUCATIVO,A,7100,7.49,0,0.27,0,2
NULL,51000,ALUGADA,5,"PAGAMENTO DE DEBITOS",,10000,NULL,0,0.37,0,2
25,87000,ALUGADA,6,"PAGAMENTO DE DEBITOS",A,13000,7.29,0,0.15,0,2
24,79650,ALUGADA,4,PESSOAL,E,6000,16.35,1,0.08,1,3
21,21600,ALUGADA,NULL,"PAGAMENTO DE DEBITOS",A,6700,6.92,1,0.31,0,4
34,91000,ALUGADA,11,MEDICO,B,25000,11.36,0,0.27,0,5
38,34296,PROPIA,1,MEDICO,C,12000,NULL,0,0.35,1,12
24,117996,HIPOTECADA,6,EMPREENDIMENTO,E,18000,17.04,0,0.15,1,3
22,55000,HIPOTECADA,2,MEDICO,C,4800,12.98,0,0.09,0,4
31,60000,HIPOTECADA,5,MEDICO,A,7200,6.03,0,0.12,0,8
25,31200,HIPOTECADA,3,MEDICO,A,11200,5.42,0,0.36,0,2
23,69000,ALUGADA,7,"PAGAMENTO DE DEBITOS",B,4800,10.75,0,0.07,0,2
28,55000,HIPOTECADA,6,EDUCATIVO,A,2400,NULL,0,0.04,0,8
30,28800,ALUGADA,1,"PAGAMENTO DE DEBITOS",C,8000,12.73,0,0.28,0,10
22,45000,ALUGADA,3,EMPREENDIMENTO,B,5000,12.42,0,0.11,0,2
48,32304,HIPOTECADA,22,MEDICO,B,15000,9.63,0,0.46,0,17
26,65219,ALUGADA,11,"PAGAMENTO DE DEBITOS",D,21000,14.09,1,0.32,0,3
41,33000,ALUGADA,2,MEDICO,C,13750,13.79,1,0.42,1,11
30,67000,HIPOTECADA,6,"MELHORA DO LAR",A,10000,6.99,0,0.15,0,6
28,83000,HIPOTECADA,6,"PAGAMENTO DE DEBITOS",B,5000,NULL,0,0.06,0,9
32,58000,ALUGADA,4,PESSOAL,B,12000,11.26,0,0.21,0,10
23,24290,ALUGADA,0,MEDICO,A,3400,7.51,0,0.14,0,4
23,84000,ALUGADA,1,EMPREENDIMENTO,A,10000,7.49,0,0.12,0,4
NULL,84000,HIPOTECADA,0,MEDICO,,10000,12.99,1,0.34,0,6
39,18300,ALUGADA,0,EDUCATIVO,D,1200,14.74,1,0.07,0,17
27,125000,HIPOTECADA,1,"MELHORA DO LAR",A,24000,6.91,0,0.19,0,8
23,60000,HIPOTECADA,8,EDUCATIVO,B,21000,NULL,0,0.35,0,3
32,86400,HIPOTECADA,16,MEDICO,A,8000,6.03,0,0.09,0,10
24,55152,HIPOTECADA,8,EDUCATIVO,B,16000,11.49,0,0.29,0,4
22,42996,ALUGADA,2,"PAGAMENTO DE DEBITOS",C,14400,NULL,1,0.33,1,4
44,82000,HIPOTECADA,5,"PAGAMENTO DE DEBITOS",C,8400,12.84,1,0.1,1,17
26,90000,HIPOTECADA,10,PESSOAL,B,13000,10.59,0,0.14,0,3
35,32900,ALUGADA,4,"MELHORA DO LAR",C,4800,13.23,1,0.15,1,9
28,58000,HIPOTECADA,8,EMPREENDIMENTO,A,9600,7.49,0,0.17,0,7
23,60000,PROPIA,2,MEDICO,D,18500,15.33,0,0.31,0,2
22,60000,PROPIA,7,EMPREENDIMENTO,D,15000,16.49,0,0.25,1,2
22,80000,ALUGADA,1,EDUCATIVO,B,18000,10.99,0,0.23,0,4
27,87360,HIPOTECADA,NULL,"MELHORA DO LAR",B,7000,10.36,0,0.08,0,6
22,66300,ALUGADA,3,MEDICO,D,7500,14.96,1,0.1,0,2
27,68000,ALUGADA,4,"MELHORA DO LAR",A,8700,7.88,0,0.13,0,5
25,42000,HIPOTECADA,3,"MELHORA DO LAR",A,10000,5.42,0,0.24,0,2
26,50000,ALUGADA,2,EMPREENDIMENTO,A,7000,9.63,0,0.14,0,2
25,40800,HIPOTECADA,9,MEDICO,B,9700,9.63,0,0.24,0,4
NULL,45204,HIPOTECADA,4,,A,11700,10.74,0,0.26,0,2
36,37008,ALUGADA,8,EMPREENDIMENTO,C,6000,14.79,0,0.16,1,14
36,60000,ALUGADA,0,"MELHORA DO LAR",C,15000,13.57,0,0.25,0,12
23,61440,PROPIA,6,PESSOAL,B,2500,NULL,0,0.04,0,3
24,74400,ALUGADA,1,MEDICO,A,3500,7.29,0,0.05,0,3
23,50400,HIPOTECADA,7,EDUCATIVO,B,2500,10.99,0,0.05,0,4
23,70000,HIPOTECADA,5,EDUCATIVO,B,20000,12.21,0,0.29,0,4
NULL,40800,HIPOTECADA,7,,C,8500,NULL,0,0.23,0,6
23,79996,HIPOTECADA,2,EDUCATIVO,E,24000,16.32,0,0.3,1,3
26,31200,ALUGADA,8,PESSOAL,A,5000,8.63,0,0.16,0,2
26,165000,HIPOTECADA,10,EDUCATIVO,C,20000,13.22,0,0.12,1,4
33,97000,HIPOTECADA,15,PESSOAL,A,20000,6.17,0,0.21,0,8
22,60000,HIPOTECADA,1,EDUCATIVO,A,4800,7.49,0,0.08,0,3
21,20000,ALUGADA,0,MEDICO,A,2000,NULL,0,0.1,0,3
24,96408,ALUGADA,1,EDUCATIVO,C,7700,12.53,0,0.08,1,4
26,67150,HIPOTECADA,9,MEDICO,D,15000,14.11,1,0.19,1,4
27,24000,ALUGADA,2,MEDICO,A,1450,NULL,0,0.06,0,9
26,110000,ALUGADA,10,EDUCATIVO,A,NULL,NULL,NULL,0.3,0,2
25,48000,HIPOTECADA,3,"PAGAMENTO DE DEBITOS",B,4800,10.74,0,0.1,0,4
24,60000,ALUGADA,8,PESSOAL,D,20000,13.87,1,0.33,0,4
28,30000,ALUGADA,7,EMPREENDIMENTO,B,10000,10.38,1,0.33,0,5
32,27500,ALUGADA,NULL,"MELHORA DO LAR",B,4000,10.62,1,0.15,0,7
32,73200,HIPOTECADA,1,PESSOAL,B,7200,10.2,0,0.1,0,7
23,65000,ALUGADA,0,EDUCATIVO,B,10000,11.49,0,0.15,0,4
23,70000,HIPOTECADA,4,EDUCATIVO,A,8400,8,0,0.12,0,3
22,36000,PROPIA,6,EDUCATIVO,B,14500,10.99,0,0.4,0,3
25,45000,HIPOTECADA,7,EDUCATIVO,A,7500,8,0,0.17,0,3
49,74000,HIPOTECADA,20,"PAGAMENTO DE DEBITOS",E,12000,17.99,1,0.16,0,15
27,102000,HIPOTECADA,9,PESSOAL,A,6000,7.49,0,0.06,0,9
29,48000,HIPOTECADA,13,PESSOAL,B,20000,NULL,0,0.42,0,9
35,52000,ALUGADA,2,MEDICO,B,3000,11.48,0,0.06,0,7
32,160000,HIPOTECADA,2,MEDICO,B,3200,NULL,0,0.02,0,5
35,95028,ALUGADA,2,"MELHORA DO LAR",D,5000,14.42,1,0.05,1,6
32,98300,HIPOTECADA,3,EMPREENDIMENTO,C,5000,12.23,0,0.05,0,10
34,89000,ALUGADA,3,"MELHORA DO LAR",D,35000,18.25,1,0.39,0,8
26,85000,HIPOTECADA,8,MEDICO,A,15000,7.88,0,0.18,0,4
30,100000,ALUGADA,13,"PAGAMENTO DE DEBITOS",A,12000,7.88,0,0.12,0,9
23,83600,ALUGADA,7,,A,10000,NULL,0,0.22,,3
21,45176,ALUGADA,1,MEDICO,B,12000,11.49,0,0.27,0,3
23,24000,ALUGADA,0,EDUCATIVO,B,6250,12.53,0,0.26,0,3
30,34000,ALUGADA,0,MEDICO,D,6500,16.32,0,NULL,,10
25,96000,HIPOTECADA,6,"MELHORA DO LAR",C,21000,14.65,0,0.22,0,3
22,12600,ALUGADA,2,PESSOAL,B,4000,10.37,1,0.32,0,4
40,75000,ALUGADA,NULL,EDUCATIVO,,5000,13.57,0,0.14,0,3
24,56000,HIPOTECADA,2,EDUCATIVO,C,5250,12.87,0,0.09,0,2
27,55200,PROPIA,4,EDUCATIVO,B,4000,NULL,0,0.07,0,10
31,82000,HIPOTECADA,15,"PAGAMENTO DE DEBITOS",A,9000,5.42,0,0.11,0,10
22,75000,ALUGADA,4,EDUCATIVO,A,3000,8.9,0,0.04,0,2
28,47000,HIPOTECADA,5,"MELHORA DO LAR",B,6000,8.88,1,0.13,0,6
24,65000,ALUGADA,0,PESSOAL,A,4800,7.88,0,0.07,0,4
34,220000,HIPOTECADA,13,"PAGAMENTO DE DEBITOS",C,11275,12.99,0,0.05,0,8
25,29000,ALUGADA,5,EMPREENDIMENTO,A,10000,7.49,1,0.34,0,2
28,50000,ALUGADA,12,MEDICO,C,8000,14.65,0,0.16,0,9
36,15000,PROPIA,2,"MELHORA DO LAR",C,5000,13.92,1,0.33,0,11
29,42000,PROPIA,13,MEDICO,A,2500,6.76,0,0.06,0,5
23,54000,HIPOTECADA,7,MEDICO,A,13500,9.63,0,0.25,0,2
29,38400,ALUGADA,4,EMPREENDIMENTO,B,3550,11.49,0,0.09,0,7
24,60000,HIPOTECADA,0,EDUCATIVO,D,8000,15.65,0,0.13,0,3
33,59000,ALUGADA,17,MEDICO,B,9600,9.91,0,0.16,0,8
25,54000,HIPOTECADA,9,"PAGAMENTO DE DEBITOS",B,12000,12.53,1,0.22,0,4
24,35000,ALUGADA,1,MEDICO,C,4500,12.87,0,0.13,1,3
24,88000,HIPOTECADA,2,PESSOAL,A,8000,5.99,0,0.09,0,4
27,37000,ALUGADA,NULL,MEDICO,B,9000,11.11,0,0.24,0,5
24,45000,HIPOTECADA,8,PESSOAL,A,4000,NULL,0,0.09,0,2
24,49812,ALUGADA,4,MEDICO,A,15000,6.17,0,0.3,0,3
22,73000,HIPOTECADA,5,"PAGAMENTO DE DEBITOS",C,22000,15.96,0,0.3,1,4
28,63000,HIPOTECADA,3,"PAGAMENTO DE DEBITOS",D,11200,14.42,1,0.18,1,7
31,42000,ALUGADA,2,MEDICO,A,7000,7.9,0,0.17,0,7
31,50000,,NULL,MEDICO,A,2000,NULL,0,0.1,0,3
28,41000,ALUGADA,1,MEDICO,B,9000,9.88,0,0.22,0,8
24,85000,HIPOTECADA,1,"PAGAMENTO DE DEBITOS",A,12000,7.88,0,0.14,0,3
24,36000,HIPOTECADA,3,MEDICO,C,8000,13.61,0,0.22,0,2
38,85000,HIPOTECADA,4,PESSOAL,B,6000,10.99,0,0.07,0,14
24,54000,ALUGADA,0,"PAGAMENTO DE DEBITOS",D,7000,15.99,1,0.13,1,3
27,37000,ALUGADA,7,MEDICO,B,8400,9.91,0,0.23,0,7
23,60000,ALUGADA,7,EDUCATIVO,C,2750,15.23,0,0.05,1,4
NULL,45000,,3,EDUCATIVO,B,16000,11.71,1,0.38,0,3
25,107000,HIPOTECADA,4,"PAGAMENTO DE DEBITOS",A,24000,5.99,0,0.22,0,2
23,45000,HIPOTECADA,7,EDUCATIVO,B,14000,11.49,0,0.31,0,2
21,34000,HIPOTECADA,5,PESSOAL,A,7200,6.76,1,0.21,0,2
35,273700,HIPOTECADA,8,MEDICO,D,25000,14.59,1,0.08,0,6
46,80000,HIPOTECADA,8,EMPREENDIMENTO,B,5000,11.86,0,0.06,0,15
26,52800,ALUGADA,4,EMPREENDIMENTO,B,8975,10.99,0,0.17,0,2
27,80000,HIPOTECADA,7,"PAGAMENTO DE DEBITOS",B,7400,12.69,0,0.09,0,7
25,12000,ALUGADA,NULL,"PAGAMENTO DE DEBITOS",B,3600,9.62,1,0.3,0,2
21,45000,HIPOTECADA,4,EDUCATIVO,A,5000,7.14,0,0.11,0,4
24,34000,ALUGADA,8,MEDICO,B,12000,11.71,1,0.35,0,4
23,46443,ALUGADA,7,EDUCATIVO,A,6000,7.9,0,0.13,0,4
33,38400,ALUGADA,6,MEDICO,B,10500,11.99,0,0.27,0,8
31,84000,HIPOTECADA,3,"MELHORA DO LAR",G,25000,17.34,1,0.3,1,5
21,35000,ALUGADA,5,MEDICO,A,9000,8.94,0,0.26,0,3
24,67992,HIPOTECADA,8,"PAGAMENTO DE DEBITOS",B,12000,10.75,0,0.18,0,2
28,62000,ALUGADA,4,PESSOAL,C,7200,12.99,0,0.12,1,9
24,90000,ALUGADA,0,"PAGAMENTO DE DEBITOS",A,10000,NULL,0,0.11,0,2
31,90000,HIPOTECADA,9,MEDICO,A,14400,7.66,0,0.16,0,6
38,110000,PROPIA,6,EMPREENDIMENTO,C,12000,12.99,0,0.11,0,11
24,36000,ALUGADA,1,PESSOAL,B,8000,12.12,1,0.22,0,4
23,90000,HIPOTECADA,1,EDUCATIVO,A,4000,5.42,0,0.04,0,3
24,24000,ALUGADA,0,MEDICO,C,5600,12.73,0,0.23,0,4
22,41300,ALUGADA,1,EMPREENDIMENTO,A,5800,7.43,0,0.14,0,3
24,87550,HIPOTECADA,5,EDUCATIVO,B,3600,11.86,0,0.04,0,4
30,40000,ALUGADA,4,EMPREENDIMENTO,C,4500,14.26,0,0.11,1,6
21,35000,ALUGADA,5,MEDICO,B,5000,10.65,0,0.14,0,3
25,177160,HIPOTECADA,2,EMPREENDIMENTO,B,24000,11.11,0,0.14,0,4
24,61200,HIPOTECADA,9,MEDICO,B,13500,10.83,1,0.19,0,2
26,48000,ALUGADA,4,"PAGAMENTO DE DEBITOS",B,8400,11.12,0,0.17,0,2
35,60000,HIPOTECADA,12,"PAGAMENTO DE DEBITOS",C,12000,13.11,0,0.2,0,9
25,80000,HIPOTECADA,5,"PAGAMENTO DE DEBITOS",A,18000,5.79,0,0.23,0,2
22,50004,ALUGADA,5,PESSOAL,D,5300,14.42,0,0.11,1,2
27,62900,HIPOTECADA,1,MEDICO,B,8000,11.46,1,0.11,0,8
51,50000,ALUGADA,9,"PAGAMENTO DE DEBITOS",B,12000,10.37,0,0.24,0,25
28,38643,ALUGADA,7,PESSOAL,B,12000,11.58,1,0.31,0,8
34,60000,HIPOTECADA,4,EDUCATIVO,C,14000,12.84,0,0.23,0,5
24,21000,ALUGADA,2,MEDICO,B,1800,10.65,0,0.09,0,2
27,100000,HIPOTECADA,11,PESSOAL,F,9000,18.25,0,0.09,1,6
24,52000,ALUGADA,1,MEDICO,A,7000,7.74,0,0.13,0,4
23,250000,HIPOTECADA,7,EDUCATIVO,B,8800,10,0,0.04,0,2
30,51000,HIPOTECADA,6,"MELHORA DO LAR",A,6600,6.92,0,0.13,0,9
32,45489,HIPOTECADA,13,PESSOAL,C,18250,12.73,0,0.4,1,5
33,56400,HIPOTECADA,3,EDUCATIVO,B,8500,12.42,1,0.15,0,6
25,48000,HIPOTECADA,9,MEDICO,A,3500,5.42,0,0.07,0,4
23,45000,HIPOTECADA,3,EDUCATIVO,C,16750,12.53,0,0.37,1,3
22,60000,HIPOTECADA,NULL,"PAGAMENTO DE DEBITOS",A,5000,6.54,0,0.08,0,3
30,126000,HIPOTECADA,6,EMPREENDIMENTO,B,8000,10.74,0,0.06,0,8
35,126696,HIPOTECADA,19,MEDICO,B,24250,10.38,0,0.19,0,6
23,75000,PROPIA,5,EMPREENDIMENTO,D,12500,15.33,0,0.17,1,3
23,110000,HIPOTECADA,0,EMPREENDIMENTO,B,7000,10.59,0,0.06,0,2
23,53950,HIPOTECADA,8,EDUCATIVO,E,15000,16.63,1,0.28,1,2
39,110000,ALUGADA,5,"MELHORA DO LAR",C,4500,13.49,0,0.04,0,11
22,32000,ALUGADA,0,MEDICO,B,2400,11.99,0,0.07,0,3
22,38400,ALUGADA,6,EDUCATIVO,A,8000,7.88,0,0.21,0,4
NULL,135000,HIPOTECADA,0,"MELHORA DO LAR",D,10000,NULL,0,0.2,0,8
31,40000,PROPIA,0,MEDICO,D,15000,15.31,0,0.38,1,10
23,46728,ALUGADA,2,PESSOAL,B,2650,10.59,0,0.06,0,2
26,140000,ALUGADA,5,EMPREENDIMENTO,B,8400,12.53,0,0.06,0,2
25,129600,HIPOTECADA,0,PESSOAL,B,3000,11.12,0,0.02,0,3
34,90000,HIPOTECADA,5,"MELHORA DO LAR",B,24250,10.62,0,0.27,0,6
25,70000,ALUGADA,1,EMPREENDIMENTO,A,5750,8,0,0.08,0,4
35,180000,HIPOTECADA,6,"PAGAMENTO DE DEBITOS",A,8500,6.92,0,0.05,0,8
23,42000,HIPOTECADA,2,EDUCATIVO,B,5200,10.25,0,0.12,0,4
31,74400,HIPOTECADA,11,EMPREENDIMENTO,A,13000,7.88,0,0.17,0,10
38,35000,PROPIA,5,EDUCATIVO,D,1800,16.49,0,0.05,1,12
31,165000,HIPOTECADA,3,"MELHORA DO LAR",C,15000,12.61,0,0.09,0,7
30,180000,HIPOTECADA,0,EDUCATIVO,A,6000,6.62,0,0.03,0,8
35,43000,ALUGADA,19,"PAGAMENTO DE DEBITOS",C,1200,13.8,0,0.03,0,8
36,79200,HIPOTECADA,19,PESSOAL,A,10000,6.03,0,0.13,0,14
25,145000,HIPOTECADA,9,"MELHORA DO LAR",A,8000,8.49,0,0.06,0,3
24,72000,HIPOTECADA,4,MEDICO,B,5000,9.25,0,0.07,0,2
26,180000,PROPIA,0,"MELHORA DO LAR",A,10000,8,0,0.06,0,4
32,85000,HIPOTECADA,3,,E,7800,NULL,0,0.18,0,13
25,75600,HIPOTECADA,7,MEDICO,C,15000,12.68,0,0.2,0,2
28,44000,ALUGADA,9,EMPREENDIMENTO,C,1000,14.17,1,0.02,0,9
41,250000,HIPOTECADA,18,EDUCATIVO,B,5000,9.99,0,0.02,0,12
25,80000,HIPOTECADA,3,EDUCATIVO,D,20000,15.62,0,0.25,1,3
25,60000,HIPOTECADA,1,EMPREENDIMENTO,A,5000,7.29,0,0.08,0,2
23,38850,ALUGADA,0,EDUCATIVO,C,4000,12.72,0,0.1,1,2
22,59000,HIPOTECADA,5,MEDICO,A,6000,NULL,0,0.1,0,2
27,50000,ALUGADA,5,EMPREENDIMENTO,B,12000,10.37,0,0.24,0,9
21,27000,ALUGADA,5,MEDICO,D,4000,15.58,1,0.15,1,2
30,39600,HIPOTECADA,11,EDUCATIVO,A,15000,7.49,1,0.38,0,5
27,119000,HIPOTECADA,7,"PAGAMENTO DE DEBITOS",D,30000,18.25,1,0.25,0,7
34,75000,HIPOTECADA,6,EMPREENDIMENTO,A,8000,5.42,0,0.11,0,10
25,23712,ALUGADA,9,MEDICO,B,1000,11.49,0,0.04,0,2
22,21120,HIPOTECADA,3,"PAGAMENTO DE DEBITOS",D,1625,16.89,1,0.08,1,3
24,90000,HIPOTECADA,8,EMPREENDIMENTO,A,6000,5.79,0,0.07,0,4
25,26729,ALUGADA,5,EMPREENDIMENTO,B,7300,11.14,0,0.27,0,4
24,70000,HIPOTECADA,4,EDUCATIVO,B,21000,11.99,0,0.3,0,4
26,144000,HIPOTECADA,2,EDUCATIVO,A,12000,7.49,0,0.08,0,3
32,85000,ALUGADA,7,"PAGAMENTO DE DEBITOS",B,6000,11.71,0,0.07,0,5
35,87550,ALUGADA,3,MEDICO,F,28000,18.62,1,0.27,0,10
40,50000,HIPOTECADA,1,EDUCATIVO,B,12000,NULL,0,0.24,0,15
30,74000,HIPOTECADA,14,EMPREENDIMENTO,C,14000,13.92,0,0.19,1,10
31,190000,PROPIA,8,EDUCATIVO,A,15000,6.03,0,0.08,0,8
32,30000,HIPOTECADA,2,EDUCATIVO,D,6000,15.31,0,0.2,1,8
25,154008,HIPOTECADA,1,"PAGAMENTO DE DEBITOS",B,9600,10.95,0,0.06,0,4
33,72000,ALUGADA,9,PESSOAL,B,9000,11.14,0,0.13,0,5
23,50000,ALUGADA,5,EDUCATIVO,B,10000,9.63,0,0.2,0,3
25,42000,ALUGADA,3,EMPREENDIMENTO,A,18000,6.17,1,0.43,0,2
27,113800,HIPOTECADA,3,MEDICO,A,7500,8.63,0,0.07,0,10
27,72000,HIPOTECADA,11,PESSOAL,B,5000,11.86,1,0.07,0,10
23,50000,HIPOTECADA,5,EMPREENDIMENTO,A,3600,5.99,0,0.07,0,2
23,114000,HIPOTECADA,7,EDUCATIVO,C,8000,12.68,0,0.07,1,3
29,46000,ALUGADA,6,,B,6000,NULL,1,0.18,0,4
35,44000,ALUGADA,3,PESSOAL,E,5000,16.95,1,0.11,1,9
